index,locationId,locationName,publicLocationName,latitude,longitude,currentTime,isDaytime,relativeHumidity,uvIndex,thunderstormProbability,cloudCover,timeZone_id,weatherCondition_iconBaseUri,weatherCondition_description_text,weatherCondition_description_languageCode,weatherCondition_type,temperature_degrees,temperature_unit,feelsLikeTemperature_degrees,feelsLikeTemperature_unit,dewPoint_degrees,dewPoint_unit,heatIndex_degrees,heatIndex_unit,windChill_degrees,windChill_unit,precipitation_probability_percent,precipitation_probability_type,precipitation_snowQpf_quantity,precipitation_snowQpf_unit,precipitation_qpf_quantity,precipitation_qpf_unit,airPressure_meanSeaLevelMillibars,wind_direction_degrees,wind_direction_cardinal,wind_speed_value,wind_speed_unit,wind_gust_value,wind_gust_unit,visibility_distance,visibility_unit,currentConditionsHistory_temperatureChange_degrees,currentConditionsHistory_temperatureChange_unit,currentConditionsHistory_maxTemperature_degrees,currentConditionsHistory_maxTemperature_unit,currentConditionsHistory_minTemperature_degrees,currentConditionsHistory_minTemperature_unit,currentConditionsHistory_snowQpf_quantity,currentConditionsHistory_snowQpf_unit,currentConditionsHistory_qpf_quantity,currentConditionsHistory_qpf_unit,error_code,error_message,error_status,dateTimeLocalFetch,time
1244,153777,"Dorntalath Secondary School - Champasack, Champasack ມັດທະຍົມ ດອນຕະລາດ","Dorntalath Secondary School - Champasack, Champasack ມັດທະຍົມ ດອນຕະລາດ",14.784126,105.819789,2025-06-18T09:02:06.076576345Z,1.0,75.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/strong_tstorms,Light thunderstorms and rain,en,LIGHT_THUNDERSTORM_RAIN,30.8,CELSIUS,38.1,CELSIUS,25.9,CELSIUS,38.1,CELSIUS,30.8,CELSIUS,39.0,RAIN,0.0,MILLIMETERS,0.9093,MILLIMETERS,1006.0,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,3.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-2.3,CELSIUS,33.1,CELSIUS,24.5,CELSIUS,0.0,MILLIMETERS,5.1945,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
1245,153789,"Sukhuma Secondary School - Sukhuma, Champasack ມັດທະຍົມ ສຸຂຸມາ","Sukhuma Secondary School - Sukhuma, Champasack ມັດທະຍົມ ສຸຂຸມາ",14.649459,105.804529,2025-06-18T09:02:07.326950199Z,1.0,75.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/strong_tstorms,Light thunderstorms and rain,en,LIGHT_THUNDERSTORM_RAIN,30.8,CELSIUS,38.1,CELSIUS,25.9,CELSIUS,38.1,CELSIUS,30.8,CELSIUS,39.0,RAIN,0.0,MILLIMETERS,0.9093,MILLIMETERS,1006.0,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,3.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-2.3,CELSIUS,33.1,CELSIUS,24.5,CELSIUS,0.0,MILLIMETERS,5.1945,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
1246,153790,Khong - Champasack,Khong - Champasack,14.048226,105.896012,2025-06-18T09:02:08.576321605Z,1.0,65.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,32.5,CELSIUS,40.0,CELSIUS,25.2,CELSIUS,40.0,CELSIUS,32.5,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0229,MILLIMETERS,1006.0,248.0,WEST_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.2,CELSIUS,32.9,CELSIUS,25.4,CELSIUS,0.0,MILLIMETERS,2.558,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
1247,153866,Samakkhixay - Attapeu,Samakkhixay - Attapeu,14.812678,106.829211,2025-06-18T09:02:09.822382431Z,1.0,72.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,31.0,CELSIUS,37.8,CELSIUS,25.3,CELSIUS,37.8,CELSIUS,31.0,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.5131,MILLIMETERS,1006.15,315.0,NORTHWEST,5.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-1.9000000000000001,CELSIUS,32.9,CELSIUS,24.5,CELSIUS,0.0,MILLIMETERS,3.7923,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
1251,153913,Xaysetha - Attapeu,Xaysetha - Attapeu,14.816824,106.930954,2025-06-18T09:02:11.077256602Z,1.0,72.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,31.0,CELSIUS,37.8,CELSIUS,25.3,CELSIUS,37.8,CELSIUS,31.0,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.5131,MILLIMETERS,1006.15,315.0,NORTHWEST,5.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-1.9000000000000001,CELSIUS,32.9,CELSIUS,24.5,CELSIUS,0.0,MILLIMETERS,3.7923,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
1298,156307,UNICEF Lao PDR CO,UNICEF Lao PDR CO,17.9376508179,102.617231896,2025-06-18T09:02:12.342625882Z,1.0,67.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,33.8,CELSIUS,44.3,CELSIUS,26.7,CELSIUS,44.3,CELSIUS,33.8,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1003.85,255.0,WEST_SOUTHWEST,14.0,KILOMETERS_PER_HOUR,25.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.1,CELSIUS,33.9,CELSIUS,24.4,CELSIUS,0.0,MILLIMETERS,4.8109,MILLIMETERS,,,,2025-06-18 16:00:08.433000+07:00,1600
873,84195,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,2025-06-18T10:00:12.469821396Z,1.0,70.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,32.3,CELSIUS,40.9,CELSIUS,26.2,CELSIUS,40.9,CELSIUS,32.3,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.127,MILLIMETERS,1003.94,245.0,WEST_SOUTHWEST,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,6.5,CELSIUS,33.1,CELSIUS,25.8,CELSIUS,0.0,MILLIMETERS,5.5016,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
1082,90402,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,2025-06-18T10:00:13.735552908Z,1.0,70.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,32.7,CELSIUS,42.2,CELSIUS,26.6,CELSIUS,42.2,CELSIUS,32.7,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.1321,MILLIMETERS,1004.0,290.0,WEST_NORTHWEST,8.0,KILOMETERS_PER_HOUR,14.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,8.3,CELSIUS,33.8,CELSIUS,24.4,CELSIUS,0.0,MILLIMETERS,4.1327,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
1083,90410,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,2025-06-18T10:00:14.999104959Z,1.0,71.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,32.8,CELSIUS,42.6,CELSIUS,26.7,CELSIUS,42.6,CELSIUS,32.8,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.20570000000000002,MILLIMETERS,1003.98,295.0,WEST_NORTHWEST,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,8.7,CELSIUS,33.9,CELSIUS,24.1,CELSIUS,0.0,MILLIMETERS,4.0258,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
1084,90411,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,2025-06-18T10:00:16.294213744Z,1.0,81.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,25.9,CELSIUS,28.6,CELSIUS,22.3,CELSIUS,28.6,CELSIUS,25.9,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.4572,MILLIMETERS,1003.24,180.0,SOUTH,2.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,1.0,CELSIUS,27.4,CELSIUS,21.3,CELSIUS,0.0,MILLIMETERS,7.6885,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
1085,90412,May - Phongsaly,May - Phongsaly,21.172583,102.722705,2025-06-18T10:00:17.562848933Z,1.0,73.0,0.0,70.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,25.1,CELSIUS,27.3,CELSIUS,19.8,CELSIUS,27.3,CELSIUS,25.1,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.6528,MILLIMETERS,1004.83,230.0,SOUTHWEST,10.0,KILOMETERS_PER_HOUR,24.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,1.2,CELSIUS,25.5,CELSIUS,20.3,CELSIUS,0.0,MILLIMETERS,9.8171,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
1086,90413,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,2025-06-18T10:00:18.828207616Z,1.0,70.0,0.0,40.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,25.0,CELSIUS,27.2,CELSIUS,19.1,CELSIUS,27.2,CELSIUS,25.0,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1004.18,215.0,SOUTHWEST,11.0,KILOMETERS_PER_HOUR,27.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,1.1,CELSIUS,26.4,CELSIUS,20.0,CELSIUS,0.0,MILLIMETERS,4.5137,MILLIMETERS,,,,2025-06-18 17:00:08.319000+07:00,1700
