index,locationId,locationName,publicLocationName,latitude,longitude,currentTime,isDaytime,relativeHumidity,uvIndex,thunderstormProbability,cloudCover,timeZone_id,weatherCondition_iconBaseUri,weatherCondition_description_text,weatherCondition_description_languageCode,weatherCondition_type,temperature_degrees,temperature_unit,feelsLikeTemperature_degrees,feelsLikeTemperature_unit,dewPoint_degrees,dewPoint_unit,heatIndex_degrees,heatIndex_unit,windChill_degrees,windChill_unit,precipitation_probability_percent,precipitation_probability_type,precipitation_snowQpf_quantity,precipitation_snowQpf_unit,precipitation_qpf_quantity,precipitation_qpf_unit,airPressure_meanSeaLevelMillibars,wind_direction_degrees,wind_direction_cardinal,wind_speed_value,wind_speed_unit,wind_gust_value,wind_gust_unit,visibility_distance,visibility_unit,currentConditionsHistory_temperatureChange_degrees,currentConditionsHistory_temperatureChange_unit,currentConditionsHistory_maxTemperature_degrees,currentConditionsHistory_maxTemperature_unit,currentConditionsHistory_minTemperature_degrees,currentConditionsHistory_minTemperature_unit,currentConditionsHistory_snowQpf_quantity,currentConditionsHistory_snowQpf_unit,currentConditionsHistory_qpf_quantity,currentConditionsHistory_qpf_unit,error_code,error_message,error_status,dateTimeLocalFetch,time
861,84195,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,2025-06-26T17:00:13.333881826Z,0.0,88.0,0.0,40.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,23.7,CELSIUS,25.9,CELSIUS,21.7,CELSIUS,25.9,CELSIUS,23.7,CELSIUS,50.0,RAIN,0.0,MILLIMETERS,0.9525,MILLIMETERS,1008.8,180.0,SOUTH,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,14.0,KILOMETERS,-2.5,CELSIUS,34.1,CELSIUS,23.7,CELSIUS,0.0,MILLIMETERS,22.2456,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1067,90402,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,2025-06-26T17:00:14.681509013Z,0.0,86.0,0.0,40.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,23.2,CELSIUS,25.3,CELSIUS,20.5,CELSIUS,25.3,CELSIUS,23.2,CELSIUS,50.0,RAIN,0.0,MILLIMETERS,2.0904,MILLIMETERS,1008.7,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,-2.6,CELSIUS,33.2,CELSIUS,23.1,CELSIUS,0.0,MILLIMETERS,24.4397,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1068,90411,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,2025-06-26T17:00:15.944337905Z,0.0,100.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,20.7,CELSIUS,24.1,CELSIUS,20.7,CELSIUS,24.1,CELSIUS,20.7,CELSIUS,50.0,RAIN,0.0,MILLIMETERS,0.34290000000000004,MILLIMETERS,1007.69,65.0,EAST_NORTHEAST,2.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS_PER_HOUR,3.0,KILOMETERS,-2.6,CELSIUS,30.1,CELSIUS,20.9,CELSIUS,0.0,MILLIMETERS,12.2913,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1069,90412,May - Phongsaly,May - Phongsaly,21.172583,102.722705,2025-06-26T17:00:17.239677804Z,0.0,92.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,19.5,CELSIUS,22.8,CELSIUS,18.1,CELSIUS,22.8,CELSIUS,19.5,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1007.97,135.0,SOUTHEAST,3.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,-3.3,CELSIUS,29.3,CELSIUS,19.8,CELSIUS,0.0,MILLIMETERS,9.3145,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1070,90413,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,2025-06-26T17:00:18.551112927Z,0.0,98.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,18.6,CELSIUS,22.1,CELSIUS,18.5,CELSIUS,22.1,CELSIUS,18.6,CELSIUS,45.0,RAIN,0.0,MILLIMETERS,0.0787,MILLIMETERS,1008.02,135.0,SOUTHEAST,3.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,-3.2,CELSIUS,29.5,CELSIUS,19.4,CELSIUS,0.0,MILLIMETERS,6.4542,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1071,90414,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,2025-06-26T17:00:19.837405913Z,0.0,100.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,11.0,CELSIUS,11.0,CELSIUS,11.0,CELSIUS,11.0,CELSIUS,11.0,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1007.76,180.0,SOUTH,2.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS,-2.4,CELSIUS,20.4,CELSIUS,10.9,CELSIUS,0.0,MILLIMETERS,9.2863,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1072,90415,Boon Neua - Phongsaly,Boon Neua - Phongsaly,21.656203,101.907985,2025-06-26T17:00:21.129418244Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.8,CELSIUS,24.4,CELSIUS,21.2,CELSIUS,24.4,CELSIUS,21.8,CELSIUS,65.0,RAIN,0.0,MILLIMETERS,1.0744,MILLIMETERS,1008.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS,-0.6000000000000001,CELSIUS,28.4,CELSIUS,21.7,CELSIUS,0.0,MILLIMETERS,7.2646,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1073,90419,"Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ","Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ",20.962029,100.82109,2025-06-26T17:00:22.398483631Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,22.4,CELSIUS,24.9,CELSIUS,21.9,CELSIUS,24.9,CELSIUS,22.4,CELSIUS,75.0,RAIN,0.0,MILLIMETERS,2.0625,MILLIMETERS,1008.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,0.1,CELSIUS,29.9,CELSIUS,21.9,CELSIUS,0.0,MILLIMETERS,7.8082,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1074,90421,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,2025-06-26T17:00:23.685164038Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,22.4,CELSIUS,24.9,CELSIUS,21.9,CELSIUS,24.9,CELSIUS,22.4,CELSIUS,75.0,RAIN,0.0,MILLIMETERS,2.0625,MILLIMETERS,1008.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,0.1,CELSIUS,29.9,CELSIUS,21.9,CELSIUS,0.0,MILLIMETERS,7.8082,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1075,90424,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,2025-06-26T17:00:24.967720441Z,0.0,98.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,19.3,CELSIUS,22.7,CELSIUS,19.1,CELSIUS,22.7,CELSIUS,19.3,CELSIUS,45.0,RAIN,0.0,MILLIMETERS,0.0787,MILLIMETERS,1008.02,135.0,SOUTHEAST,3.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,-3.2,CELSIUS,30.2,CELSIUS,20.0,CELSIUS,0.0,MILLIMETERS,6.4542,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1076,90425,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,2025-06-26T17:00:26.252779202Z,0.0,98.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,20.9,CELSIUS,23.4,CELSIUS,20.4,CELSIUS,23.4,CELSIUS,20.9,CELSIUS,65.0,RAIN,0.0,MILLIMETERS,1.4783,MILLIMETERS,1008.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,-0.5,CELSIUS,28.7,CELSIUS,20.5,CELSIUS,0.0,MILLIMETERS,8.0418,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1077,90430,"Nampook Secondary School - Huoixai, Bokeo ມັດທະຍົມສົມບູນ ນ້ຳປຸກ","Nampook Secondary School - Huoixai, Bokeo ມັດທະຍົມສົມບູນ ນ້ຳປຸກ",20.217811,100.565439,2025-06-26T17:00:27.531432871Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,25.2,CELSIUS,28.6,CELSIUS,24.3,CELSIUS,28.6,CELSIUS,25.2,CELSIUS,70.0,RAIN,0.0,MILLIMETERS,1.6561000000000001,MILLIMETERS,1007.0,225.0,SOUTHWEST,3.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,-0.1,CELSIUS,32.6,CELSIUS,24.4,CELSIUS,0.0,MILLIMETERS,23.9727,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1078,90432,Meung - Bokeo,Meung - Bokeo,20.565749,100.592003,2025-06-26T17:00:28.840897731Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.0,CELSIUS,23.5,CELSIUS,20.5,CELSIUS,23.5,CELSIUS,21.0,CELSIUS,40.0,RAIN,0.0,MILLIMETERS,0.9906,MILLIMETERS,1007.99,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS,-0.30000000000000004,CELSIUS,28.7,CELSIUS,20.6,CELSIUS,0.0,MILLIMETERS,13.7768,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1079,90433,Pha Oudom - Bokeo,Pha Oudom - Bokeo,20.086216,100.831707,2025-06-26T17:00:30.142697573Z,0.0,95.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,19.7,CELSIUS,22.1,CELSIUS,18.9,CELSIUS,22.1,CELSIUS,19.7,CELSIUS,45.0,RAIN,0.0,MILLIMETERS,0.7722,MILLIMETERS,1008.0,225.0,SOUTHWEST,5.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,0.1,CELSIUS,27.0,CELSIUS,18.9,CELSIUS,0.0,MILLIMETERS,8.4278,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
1080,90435,"Santiphab Secondary School - Luangprabang, Luangprabang ມັດທະຍົມ ສັນຕິພາບ","Santiphab Secondary School - Luangprabang, Luangprabang ມັດທະຍົມ ສັນຕິພາບ",19.880332,102.139832,2025-06-26T17:00:31.465241017Z,0.0,93.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,22.8,CELSIUS,25.1,CELSIUS,21.6,CELSIUS,25.1,CELSIUS,22.8,CELSIUS,50.0,RAIN,0.0,MILLIMETERS,2.4816,MILLIMETERS,1007.14,180.0,SOUTH,2.0,KILOMETERS_PER_HOUR,3.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,-3.4,CELSIUS,34.2,CELSIUS,22.8,CELSIUS,0.0,MILLIMETERS,6.6706,MILLIMETERS,,,,2025-06-27 00:00:09.143000+07:00,0000
