index,locationId,locationName,publicLocationName,latitude,longitude,currentTime,isDaytime,relativeHumidity,uvIndex,thunderstormProbability,cloudCover,timeZone_id,weatherCondition_iconBaseUri,weatherCondition_description_text,weatherCondition_description_languageCode,weatherCondition_type,temperature_degrees,temperature_unit,feelsLikeTemperature_degrees,feelsLikeTemperature_unit,dewPoint_degrees,dewPoint_unit,heatIndex_degrees,heatIndex_unit,windChill_degrees,windChill_unit,precipitation_probability_percent,precipitation_probability_type,precipitation_snowQpf_quantity,precipitation_snowQpf_unit,precipitation_qpf_quantity,precipitation_qpf_unit,airPressure_meanSeaLevelMillibars,wind_direction_degrees,wind_direction_cardinal,wind_speed_value,wind_speed_unit,wind_gust_value,wind_gust_unit,visibility_distance,visibility_unit,currentConditionsHistory_temperatureChange_degrees,currentConditionsHistory_temperatureChange_unit,currentConditionsHistory_maxTemperature_degrees,currentConditionsHistory_maxTemperature_unit,currentConditionsHistory_minTemperature_degrees,currentConditionsHistory_minTemperature_unit,currentConditionsHistory_snowQpf_quantity,currentConditionsHistory_snowQpf_unit,currentConditionsHistory_qpf_quantity,currentConditionsHistory_qpf_unit,error_code,error_message,error_status,dateTimeLocalFetch,time
872,84195,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,2025-06-20T17:00:12.353715290Z,0.0,84.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/showers,Rain,en,RAIN,27.6,CELSIUS,32.1,CELSIUS,24.7,CELSIUS,32.1,CELSIUS,27.6,CELSIUS,55.0,RAIN,0.0,MILLIMETERS,0.7645000000000001,MILLIMETERS,1007.36,335.0,NORTH_NORTHWEST,3.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,2.0,CELSIUS,31.8,CELSIUS,25.6,CELSIUS,0.0,MILLIMETERS,4.806,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1082,90402,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,2025-06-20T17:00:13.672760812Z,0.0,80.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/showers,Rain,en,RAIN,27.6,CELSIUS,31.3,CELSIUS,23.8,CELSIUS,31.3,CELSIUS,27.6,CELSIUS,55.0,RAIN,0.0,MILLIMETERS,0.4928,MILLIMETERS,1007.7,315.0,NORTHWEST,3.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,2.1,CELSIUS,31.9,CELSIUS,25.5,CELSIUS,0.0,MILLIMETERS,4.4781,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1083,90411,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,2025-06-20T17:00:14.963122757Z,0.0,97.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,22.4,CELSIUS,24.9,CELSIUS,21.8,CELSIUS,24.9,CELSIUS,22.4,CELSIUS,50.0,RAIN,0.0,MILLIMETERS,0.7112,MILLIMETERS,1007.04,270.0,WEST,0.0,KILOMETERS_PER_HOUR,2.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,-0.1,CELSIUS,26.9,CELSIUS,20.8,CELSIUS,0.0,MILLIMETERS,15.8497,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1084,90412,May - Phongsaly,May - Phongsaly,21.172583,102.722705,2025-06-20T17:00:16.277892411Z,0.0,90.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.9,CELSIUS,24.1,CELSIUS,20.0,CELSIUS,24.1,CELSIUS,21.9,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.27,155.0,SOUTH_SOUTHEAST,3.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,14.0,KILOMETERS,0.6000000000000001,CELSIUS,26.6,CELSIUS,20.1,CELSIUS,0.0,MILLIMETERS,11.8796,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1085,90413,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,2025-06-20T17:00:17.565679883Z,0.0,94.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.3,CELSIUS,23.6,CELSIUS,20.3,CELSIUS,23.6,CELSIUS,21.3,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1007.48,180.0,SOUTH,5.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS,0.1,CELSIUS,27.8,CELSIUS,20.0,CELSIUS,0.0,MILLIMETERS,8.4054,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1086,90414,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,2025-06-20T17:00:18.867546015Z,0.0,100.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,12.6,CELSIUS,16.2,CELSIUS,12.6,CELSIUS,16.2,CELSIUS,12.6,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20320000000000002,MILLIMETERS,1007.69,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS_PER_HOUR,5.0,KILOMETERS,0.30000000000000004,CELSIUS,18.4,CELSIUS,11.1,CELSIUS,0.0,MILLIMETERS,8.2857,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1087,90419,"Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ","Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ",20.962029,100.82109,2025-06-20T17:00:20.169461854Z,0.0,92.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.8,CELSIUS,25.1,CELSIUS,21.6,CELSIUS,25.1,CELSIUS,22.8,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.10160000000000001,MILLIMETERS,1007.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,0.2,CELSIUS,29.9,CELSIUS,22.6,CELSIUS,0.0,MILLIMETERS,3.8786,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1088,90421,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,2025-06-20T17:00:21.459970711Z,0.0,92.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.8,CELSIUS,25.1,CELSIUS,21.6,CELSIUS,25.1,CELSIUS,22.8,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.10160000000000001,MILLIMETERS,1007.0,203.0,SOUTH_SOUTHWEST,5.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,0.2,CELSIUS,29.9,CELSIUS,22.6,CELSIUS,0.0,MILLIMETERS,3.8786,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1089,90424,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,2025-06-20T17:00:22.788540741Z,0.0,94.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.9,CELSIUS,24.3,CELSIUS,20.9,CELSIUS,24.3,CELSIUS,21.9,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.20070000000000002,MILLIMETERS,1007.48,180.0,SOUTH,5.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS,0.1,CELSIUS,28.4,CELSIUS,20.7,CELSIUS,0.0,MILLIMETERS,8.4054,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
1090,90425,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,2025-06-20T17:00:24.099715435Z,0.0,95.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/drizzle,Light rain,en,LIGHT_RAIN,21.1,CELSIUS,23.6,CELSIUS,20.4,CELSIUS,23.6,CELSIUS,21.1,CELSIUS,25.0,RAIN,0.0,MILLIMETERS,0.2921,MILLIMETERS,1006.97,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS_PER_HOUR,10.0,KILOMETERS,-0.1,CELSIUS,29.5,CELSIUS,21.1,CELSIUS,0.0,MILLIMETERS,5.0545,MILLIMETERS,,,,2025-06-21 00:00:08.178000+07:00,0000
