index,locationId,locationName,publicLocationName,latitude,longitude,currentTime,isDaytime,relativeHumidity,uvIndex,thunderstormProbability,cloudCover,timeZone_id,weatherCondition_iconBaseUri,weatherCondition_description_text,weatherCondition_description_languageCode,weatherCondition_type,temperature_degrees,temperature_unit,feelsLikeTemperature_degrees,feelsLikeTemperature_unit,dewPoint_degrees,dewPoint_unit,heatIndex_degrees,heatIndex_unit,windChill_degrees,windChill_unit,precipitation_probability_percent,precipitation_probability_type,precipitation_snowQpf_quantity,precipitation_snowQpf_unit,precipitation_qpf_quantity,precipitation_qpf_unit,airPressure_meanSeaLevelMillibars,wind_direction_degrees,wind_direction_cardinal,wind_speed_value,wind_speed_unit,wind_gust_value,wind_gust_unit,visibility_distance,visibility_unit,currentConditionsHistory_temperatureChange_degrees,currentConditionsHistory_temperatureChange_unit,currentConditionsHistory_maxTemperature_degrees,currentConditionsHistory_maxTemperature_unit,currentConditionsHistory_minTemperature_degrees,currentConditionsHistory_minTemperature_unit,currentConditionsHistory_snowQpf_quantity,currentConditionsHistory_snowQpf_unit,currentConditionsHistory_qpf_quantity,currentConditionsHistory_qpf_unit,error_code,error_message,error_status,dateTimeLocalFetch,time
876,84195,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,2025-06-19T17:00:11.908873749Z,0.0,85.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,26.1,CELSIUS,29.2,CELSIUS,23.4,CELSIUS,29.2,CELSIUS,26.1,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.0,270.0,WEST,0.0,KILOMETERS_PER_HOUR,0.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.4,CELSIUS,32.1,CELSIUS,25.1,CELSIUS,0.0,MILLIMETERS,18.0189,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1084,90402,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,2025-06-19T17:00:13.189461453Z,0.0,81.0,0.0,30.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,26.3,CELSIUS,29.1,CELSIUS,22.6,CELSIUS,29.1,CELSIUS,26.3,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.0,180.0,SOUTH,2.0,KILOMETERS_PER_HOUR,3.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,0.0,CELSIUS,31.8,CELSIUS,24.9,CELSIUS,0.0,MILLIMETERS,13.1802,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1085,90411,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,2025-06-19T17:00:14.460065851Z,0.0,92.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.4,CELSIUS,24.8,CELSIUS,21.1,CELSIUS,24.8,CELSIUS,22.4,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1007.23,180.0,SOUTH,3.0,KILOMETERS_PER_HOUR,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,-0.30000000000000004,CELSIUS,27.8,CELSIUS,21.9,CELSIUS,0.0,MILLIMETERS,7.7114,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1086,90412,May - Phongsaly,May - Phongsaly,21.172583,102.722705,2025-06-19T17:00:15.758285673Z,0.0,88.0,0.0,10.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.1,CELSIUS,23.5,CELSIUS,19.0,CELSIUS,23.5,CELSIUS,21.1,CELSIUS,20.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.73,200.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,18.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-1.1,CELSIUS,25.3,CELSIUS,21.1,CELSIUS,0.0,MILLIMETERS,9.5684,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1087,90413,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,2025-06-19T17:00:17.085217812Z,0.0,88.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.2,CELSIUS,23.3,CELSIUS,18.9,CELSIUS,23.3,CELSIUS,21.2,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.18,180.0,SOUTH,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.4,CELSIUS,26.4,CELSIUS,20.8,CELSIUS,0.0,MILLIMETERS,4.4654,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1088,90414,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,2025-06-19T17:00:18.370904586Z,0.0,99.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,12.3,CELSIUS,16.2,CELSIUS,12.1,CELSIUS,16.2,CELSIUS,12.3,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.36,195.0,SOUTH_SOUTHWEST,8.0,KILOMETERS_PER_HOUR,18.0,KILOMETERS_PER_HOUR,6.0,KILOMETERS,-0.2,CELSIUS,17.1,CELSIUS,12.1,CELSIUS,0.0,MILLIMETERS,5.6595,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1089,90419,"Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ","Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ",20.962029,100.82109,2025-06-19T17:00:19.628036634Z,0.0,95.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.6,CELSIUS,25.0,CELSIUS,21.4,CELSIUS,25.0,CELSIUS,22.6,CELSIUS,15.0,RAIN,0.0,MILLIMETERS,0.1854,MILLIMETERS,1008.36,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,0.4,CELSIUS,28.6,CELSIUS,22.1,CELSIUS,0.0,MILLIMETERS,7.8969000000000005,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1090,90421,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,2025-06-19T17:00:20.894502194Z,0.0,95.0,0.0,20.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,22.6,CELSIUS,25.0,CELSIUS,21.4,CELSIUS,25.0,CELSIUS,22.6,CELSIUS,15.0,RAIN,0.0,MILLIMETERS,0.1854,MILLIMETERS,1008.36,203.0,SOUTH_SOUTHWEST,6.0,KILOMETERS_PER_HOUR,11.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,0.4,CELSIUS,28.6,CELSIUS,22.1,CELSIUS,0.0,MILLIMETERS,7.8969000000000005,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1091,90424,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,2025-06-19T17:00:22.168352563Z,0.0,88.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.8,CELSIUS,24.0,CELSIUS,19.5,CELSIUS,24.0,CELSIUS,21.8,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.18,180.0,SOUTH,6.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,16.0,KILOMETERS,-0.4,CELSIUS,27.0,CELSIUS,21.5,CELSIUS,0.0,MILLIMETERS,4.4654,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
1092,90425,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,2025-06-19T17:00:23.456034461Z,0.0,95.0,0.0,0.0,100.0,Asia/Vientiane,https://maps.gstatic.com/weather/v1/cloudy,Cloudy,en,CLOUDY,21.2,CELSIUS,23.6,CELSIUS,20.1,CELSIUS,23.6,CELSIUS,21.2,CELSIUS,10.0,RAIN,0.0,MILLIMETERS,0.0,MILLIMETERS,1008.0,203.0,SOUTH_SOUTHWEST,8.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS_PER_HOUR,13.0,KILOMETERS,0.30000000000000004,CELSIUS,28.2,CELSIUS,20.9,CELSIUS,0.0,MILLIMETERS,5.3596,MILLIMETERS,,,,2025-06-20 00:00:07.726000+07:00,0000
