time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:52+07:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,226.9,485.1,547.4,20463.0,32.9,39.0,,881.1,450.0,1.0,40.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:11+07:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,101.9,160.2,174.3,8060.0,31.3,43.0,,159.3,163.0,1.0,37.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:50+07:00,Asia/Bangkok,90411,LA02,Phongsali,ຜົ້ງສາລີ,LA0201,Phongsali,ຜົ້ງສາລີ,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,35.4,52.9,66.9,2829.0,27.7,35.0,,26.8,23.0,1.0,28.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:56+07:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,123.2,200.5,219.0,9442.0,26.2,56.0,,37.4,36.0,1.0,27.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:43+07:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,90.4,145.0,157.3,7119.0,27.2,55.0,,33.3,31.0,1.0,29.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:42+07:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,96.0,153.7,162.2,7285.0,25.7,58.0,,94.9,101.0,1.0,26.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:19+07:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,59.0,93.2,99.8,4808.0,29.0,41.0,,59.4,62.0,1.0,31.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:23+07:00,Asia/Bangkok,90425,LA04,Oudomxai,ອຸດົມໄຊ,LA0403,Namoh,ນາໝໍ້,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,91.5,133.7,139.2,6327.0,26.6,51.0,,74.5,79.0,1.0,27.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:59+07:00,Asia/Bangkok,90427,LA04,Oudomxai,ອຸດົມໄຊ,LA0405,Beng,ແບງ,Beng - Oudomxai,Beng - Oudomxai,20.296295,101.639666,74.7,118.7,132.5,5886.0,29.6,42.0,,79.0,84.0,1.0,33.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:13+07:00,Asia/Bangkok,90428,LA04,Oudomxai,ອຸດົມໄຊ,LA0406,Houn,ຮຸນ,"Hoon Secondary School - Hoon, Oudomxay ມັດທະຍົມ ເມືອງຮຸນ","Hoon Secondary School - Hoon, Oudomxay ມັດທະຍົມ ເມືອງຮຸນ",20.146431,101.467765,69.5,107.0,114.5,7708.0,32.7,38.0,,107.6,114.0,1.0,39.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:36+07:00,Asia/Bangkok,90429,LA04,Oudomxai,ອຸດົມໄຊ,LA0407,Pakbeng,ປາກແບງ,Pakbeng - Oudomxai,Pakbeng - Oudomxai,19.910426,101.155815,100.6,160.3,169.1,7635.0,28.6,53.0,,77.4,82.0,1.0,33.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:58+07:00,Asia/Bangkok,90430,LA05,Bokeo,ບໍ່ແກ້ວ,LA0501,Houayxay,ຫ້ວຍຊາຍ,"Nampook Secondary School - Huoixai, Bokeo ມັດທະຍົມສົມບູນ ນ້ຳປຸກ","Nampook Secondary School - Huoixai, Bokeo ມັດທະຍົມສົມບູນ ນ້ຳປຸກ",20.217811,100.565439,38.7,59.7,69.8,1598.0,26.3,55.0,,185.5,185.0,1.0,27.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:23+07:00,Asia/Bangkok,90432,LA05,Bokeo,ບໍ່ແກ້ວ,LA0503,Meung,ເມິງ,Meung - Bokeo,Meung - Bokeo,20.565749,100.592003,52.1,84.2,88.2,4067.0,26.0,57.0,,70.8,75.0,1.0,26.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:34+07:00,Asia/Bangkok,90433,LA05,Bokeo,ບໍ່ແກ້ວ,LA0504,Pha-oudom,ຜາອຸດົມ,Pha Oudom - Bokeo,Pha Oudom - Bokeo,20.086216,100.831707,57.8,95.3,109.5,4385.0,28.9,51.0,,62.0,65.0,1.0,33.0,UNICEF ,https://www.unicef.org/laos/
0000,2026-04-08 00:00:01.914000+07:00,2026-04-07 23:59:58+07:00,Asia/Bangkok,90434,LA05,Bokeo,ບໍ່ແກ້ວ,LA0505,Paktha,ປາກທາ,Paktha - Bokeo,Paktha - Bokeo,20.105423,100.597269,40.5,62.8,72.1,3102.0,29.8,43.0,,193.4,192.0,1.0,33.0,UNICEF ,https://www.unicef.org/laos/
