time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:23+07:00,Asia/Bangkok,84195,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0107,Hatxayfong,ຫາດຊາຍຟອງ,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,7.8,16.6,19.3,739,26.7,45,,64.7,68.0,1.0,27,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:57+07:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,13.4,23.4,24.9,915,28.2,44,,107.6,114.0,1.0,30,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:04+07:00,Asia/Bangkok,90405,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0109,Pakngum,ປາກງື່ມ,Mayparkngum - Vientiane Capital,Mayparkngum - Vientiane Capital,18.185205,103.05687,13.4,23.8,24.8,861,27.7,44,,276.4,252.0,1.0,29,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:09+07:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,26.8,40.2,49.8,1643,27.1,47,,196.5,194.0,1.0,28,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:37+07:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,26.0,39.8,49.8,1591,22.4,53,,94.0,100.0,1.0,22,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:44+07:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,25.0,38.3,45.7,1500,20.8,58,,52.5,54.0,1.0,19,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:12+07:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,30.5,47.1,60.1,2212,22.0,56,,95.9,102.0,1.0,21,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:28+07:00,Asia/Bangkok,90424,LA04,Oudomxai,ອຸດົມໄຊ,LA0402,La,ຫຼາ,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,21.0,31.7,35.8,560,23.2,56,,41.5,41.0,1.0,22,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:54+07:00,Asia/Bangkok,90425,LA04,Oudomxai,ອຸດົມໄຊ,LA0403,Namoh,ນາໝໍ້,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,28.3,41.8,52.1,1957,21.6,57,,148.1,153.0,1.0,21,UNICEF ,https://www.unicef.org/laos/
0000,2026-03-15 00:00:01.777000+07:00,2026-03-14 23:59:22+07:00,Asia/Bangkok,90427,LA04,Oudomxai,ອຸດົມໄຊ,LA0405,Beng,ແບງ,Beng - Oudomxai,Beng - Oudomxai,20.296295,101.639666,14.6,27.6,30.3,959,23.1,53,,97.8,104.0,1.0,22,UNICEF ,https://www.unicef.org/laos/
