time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:20+07:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,9.4,23.9,25.1,799,30.9,55,,101.8,108.0,1.0,40,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:25+07:00,Asia/Bangkok,90407,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0102,Sikhottabong,ສີໂຄດຕະບອງ,"Chansavang Secondary School - Sikhottabong, Vientiane Capital ມັດທະຍົມ ຈັນສະຫວ່າງ","Chansavang Secondary School - Sikhottabong, Vientiane Capital ມັດທະຍົມ ຈັນສະຫວ່າງ",18.024146,102.520739,1.1,3.5,4.6,358,30.7,52,,54.2,56.0,1.0,39,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:55+07:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,3.3,7.0,8.3,458,29.9,56,,65.5,69.0,1.0,38,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:45+07:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,0.4,2.4,3.0,277,27.9,62,,131.0,137.0,1.0,32,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:45+07:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,0.0,0.0,1.3,254,27.4,66,,80.0,85.0,1.0,32,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:05+07:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,,,,6139,27.2,63,,44.0,44.0,1.0,31,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:42+07:00,Asia/Bangkok,90419,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0303,Long,ລອງ,"Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ","Long Secondary School - Long, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງລອງ",20.962029,100.82109,0.0,0.0,0.30000000000000004,149,29.1,60,,69.1,73.0,1.0,36,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-29 00:00:00+07:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,0.0,0.0,0.0,110,26.9,61,,44.9,45.0,2.0,29,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:23+07:00,Asia/Bangkok,90422,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0305,Naleh,ນາແລ,Nalae - Louangnamtha,Nalae - Louangnamtha,20.536617,101.447461,0.0,0.1,0.30000000000000004,153,27.4,63,,,,,31,UNICEF ,https://www.unicef.org/laos/
0000,2026-08-29 00:00:03.516000+07:00,2026-08-28 23:59:20+07:00,Asia/Bangkok,90425,LA04,Oudomxai,ອຸດົມໄຊ,LA0403,Namoh,ນາໝໍ້,"Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້","Namor Secondary School - Namor, Oudomxay ມັດທະຍົມ ເມືອງນາໝໍ້",20.914061,101.764456,0.0,0.0,0.8,249,26.0,65,,104.2,111.0,1.0,27,UNICEF ,https://www.unicef.org/laos/
