time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:31+00:00,Asia/Bangkok,84195,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0107,Hatxayfong,ຫາດຊາຍຟອງ,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,24.5,36.58,42.75,2564.92,24.62,47.57,,46.563213,47.0,1.0,23.9,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:44+00:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,50.83,77.83,85.17,3922.92,26.35,47.24,,261.32007,242.25,1.0,26.4,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:10+00:00,Asia/Bangkok,90405,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0109,Pakngum,ປາກງື່ມ,Mayparkngum - Vientiane Capital,Mayparkngum - Vientiane Capital,18.185205,103.05687,20.0,28.58,30.25,1050.42,25.0,46.82,,90.34843,96.17,1.0,24.6,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:58+00:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,44.67,70.17,78.17,3770.75,24.35,52.53,,161.72415,165.17,1.0,23.3,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:12+00:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,17.08,27.25,28.67,1038.33,20.29,53.23,,37.418774,36.0,1.0,18.9,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:28+00:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,16.67,26.58,31.25,1083.67,21.73,54.47,,62.015793,65.0,1.0,20.6,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:27+00:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,15.17,25.58,27.42,918.42,20.0,57.99,,54.211365,56.0,1.0,18.3,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:41+00:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,34.0,50.67,65.58,2703.75,19.72,50.2,,139.44551,145.0,1.0,18.3,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:41+00:00,Asia/Bangkok,90422,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0305,Naleh,ນາແລ,Nalae - Louangnamtha,Nalae - Louangnamtha,20.536617,101.447461,9.58,20.08,22.42,822.67,20.8,50.45,,166.19745,169.08,1.0,19.4,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-22 00:00:01.667000+07:00,2026-01-21 16:59:38+00:00,Asia/Bangkok,90424,LA04,Oudomxai,ອຸດົມໄຊ,LA0402,La,ຫຼາ,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,8.17,19.83,22.83,363.25,19.9,51.95,,27.686525,24.0,1.0,18.3,UNICEF ,https://www.unicef.org/laos/
