time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:17+00:00,Asia/Bangkok,84195,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0107,Hatxayfong,ຫາດຊາຍຟອງ,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,5.17,11.0,11.42,566.83,26.43,45.72,,44.88422,45.0,1.0,26.5,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:43+00:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,3.75,7.08,8.33,467.33,26.25,45.74,,49.9435,51.0,1.0,26.2,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:12+00:00,Asia/Bangkok,90405,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0109,Pakngum,ປາກງື່ມ,Mayparkngum - Vientiane Capital,Mayparkngum - Vientiane Capital,18.185205,103.05687,2.92,6.5,7.58,415.25,26.05,45.8,,45.722794,46.0,1.0,26.0,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:27+00:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,4.25,10.58,14.33,530.92,26.58,44.4,,46.91674,47.42,1.0,26.6,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:17+00:00,Asia/Bangkok,90411,LA02,Phongsali,ຜົ້ງສາລີ,LA0201,Phongsali,ຜົ້ງສາລີ,d83bda1bc98c Phongsaly - Phongsaly,d83bda1bc98c Phongsaly - Phongsaly,21.695,102.085,0.08,2.58,2.58,306.92,19.41,51.33,,56.795166,59.0,3.0,17.8,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:54+00:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,0.58,3.0,3.5,296.42,19.38,56.52,,30.09644,27.0,1.0,17.8,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 17:00:00+00:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,15.25,27.17,34.17,1058.33,21.38,56.87,,57.807602,60.17,1.0,20.0,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 17:00:00+00:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,0.17,1.75,1.75,302.0,21.76,54.23,,34.962364,33.0,1.0,20.6,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:02+00:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,31.42,45.75,58.33,2305.58,20.6,51.52,,45.722794,46.0,1.0,19.4,UNICEF ,https://www.unicef.org/laos/
0000,2025-12-18 00:00:01.657000+07:00,2025-12-17 16:59:56+00:00,Asia/Bangkok,90422,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0305,Naleh,ນາແລ,Nalae - Louangnamtha,Nalae - Louangnamtha,20.536617,101.447461,5.5,9.08,12.67,530.17,22.0,56.23,,,,,21.1,UNICEF ,https://www.unicef.org/laos/
