time,dateTimeLocalFetch,timestamp,timezone,locationId,province_pcode,province_en,province_lo,district_pcode,district_en,district_lo,locationName,publicLocationName,latitude,longitude,pm01,pm02,pm10,pm003Count,atmp,rhum,rco2,tvoc,tvocIndex,noxIndex,heatindex,publicContributorName,publicPlaceUrl
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:49+00:00,Asia/Bangkok,84195,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0107,Hatxayfong,ຫາດຊາຍຟອງ,"Salakham Secondary School - Hadxaifong District, Vientiane Capital","Salakham Secondary School - Hadxaifong District, Vientiane Capital",17.880817,102.648658,95.42,136.58,149.33,8256.0,26.01,52.85,,41.548218,41.0,1.0,26.1,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 17:00:00+00:00,Asia/Bangkok,90402,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0106,Xaithani,ໄຊທານີ,"Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ","Sathit Secondary School - Xaythani, Vientiane Capital ມັດທະຍົມ ສາທິດ",18.035248,102.63994,42.08,68.92,76.0,3171.42,26.72,47.73,,101.268745,107.58,1.0,26.8,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:36+00:00,Asia/Bangkok,90405,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0109,Pakngum,ປາກງື່ມ,Mayparkngum - Vientiane Capital,Mayparkngum - Vientiane Capital,18.185205,103.05687,66.5,118.33,135.33,5213.92,25.05,50.29,,469.58044,351.0,1.0,24.9,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:19+00:00,Asia/Bangkok,90410,LA01,Vientiane Capital,ນະຄອນຫຼວງ ວຽງຈັນ,LA0105,Naxaythong,ນາຊາຍທອງ,"Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ","Naxaithong Secondary School - Naxaithong, Vientiane Capital ມັດທະຍົມ ນາຊາຍທອງ",18.068595,102.535866,62.0,98.17,109.58,5016.42,25.35,53.2,,270.28165,248.25,1.0,25.3,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:34+00:00,Asia/Bangkok,90412,LA02,Phongsali,ຜົ້ງສາລີ,LA0202,Mai,ໃໝ່,May - Phongsaly,May - Phongsaly,21.172583,102.722705,26.08,38.58,47.17,1722.08,23.35,53.13,,95.889206,102.0,1.0,22.8,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:31+00:00,Asia/Bangkok,90413,LA02,Phongsali,ຜົ້ງສາລີ,LA0203,Khoua,ຂວາ,"Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ","Natoon Secondary School - Khua, Phongsaly ມັດທະຍົມສົມບູນ ນາຕູ່ນ",21.078865,102.505833,24.08,36.42,43.42,1467.42,22.35,56.81,,45.722794,46.0,1.0,21.1,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:07+00:00,Asia/Bangkok,90414,LA02,Phongsali,ຜົ້ງສາລີ,LA0204,Samphan,ສຳພັນ,"Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ","Naxay Secondary School - Samphanh, Phongsaly ມັດທະຍົມສົມບູນ ນາໄຊ",21.346014,102.349329,18.42,27.67,29.08,1013.5,22.17,61.25,,55.07069,57.0,1.0,21.1,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:42+00:00,Asia/Bangkok,90421,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0302,Sing,ສິງ,"Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ","Sing Secondary School - Sing, LuangNamtha ມັດທະຍົມສົມບູນ ເມືອງສິງ",21.190223,101.144937,45.75,68.5,76.83,3636.42,22.97,50.33,,67.30876,71.0,1.0,22.2,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:32+00:00,Asia/Bangkok,90422,LA03,Louangnamtha,ຫຼວງນ້ຳທາ,LA0305,Naleh,ນາແລ,Nalae - Louangnamtha,Nalae - Louangnamtha,20.536617,101.447461,20.5,28.75,33.33,1155.0,22.51,51.69,,67.23771,70.92,1.0,21.7,UNICEF ,https://www.unicef.org/laos/
0000,2026-01-17 00:00:01.439000+07:00,2026-01-16 16:59:40+00:00,Asia/Bangkok,90424,LA04,Oudomxai,ອຸດົມໄຊ,LA0402,La,ຫຼາ,"La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ","La Secondary School - La, Oudomxai ມັດທະຍົມສົມບູນ ເມືອງຫລາ",20.870865,102.110246,18.33,28.33,29.67,506.08,21.76,52.24,,60.267643,63.0,1.0,20.6,UNICEF ,https://www.unicef.org/laos/
